idstock,nom_ingredient,quantite,seuil_minimal,unite,createdAt,updatedAt
1,Lait Cru,500,100,L,2024-12-11 10:00:00,2024-12-11 10:00:00
2,Ferments Lactiques,80,20,Kg,2024-12-11 10:00:00,2024-12-11 10:00:00
3,Lait d'Amande,300,50,L,2024-12-11 10:00:00,2024-12-11 10:00:00
4,Lait de Chevre,400,100,L,2024-12-11 10:00:00,2024-12-11 10:00:00
5,Lait Cru Bio,250,50,L,2024-12-11 10:00:00,2024-12-11 10:00:00
6,Lait de Coco,200,50,L,2024-12-11 10:00:00,2024-12-11 10:00:00
7,Lait en Poudre,50,10,Kg,2024-12-11 10:00:00,2024-12-11 10:00:00
8,Lait Cru Entier,400,100,L,2024-12-11 10:00:00,2024-12-11 10:00:00
9,Ferments Aromatiques,90,20,Kg,2024-12-11 10:00:00,2024-12-11 10:00:00
10,Lait Amandier Bio,300,50,L,2024-12-11 10:00:00,2024-12-11 10:00:00
11,Sucre,150,30,Kg,2024-12-11 10:00:00,2024-12-11 10:00:00
12,Chocolat Noir,100,20,Kg,2024-12-11 10:00:00,2024-12-11 10:00:00
13,Chocolat au Lait,200,30,Kg,2024-12-11 10:00:00,2024-12-11 10:00:00
14,Miel,50,10,Kg,2024-12-11 10:00:00,2024-12-11 10:00:00
15,Chocolat Blanc,150,30,Kg,2024-12-11 10:00:00,2024-12-11 10:00:00
16,Fruits Secs Mélangés,100,20,Kg,2024-12-11 10:00:00,2024-12-11 10:00:00
17,Sucre Vanillé,75,15,Kg,2024-12-11 10:00:00,2024-12-11 10:00:00
18,Arômes Naturels,50,10,L,2024-12-11 10:00:00,2024-12-11 10:00:00
19,Vanille,100,20,Kg,2024-12-11 10:00:00,2024-12-11 10:00:00
20,Caramel,150,30,Kg,2024-12-11 10:00:00,2024-12-11 10:00:00
